Name,Version,Architecture,Description
libevview3-3:amd64,3.18.2-1ubuntu4.3,amd64,"Document (PostScript, PDF) rendering library - Gtk+ widgets"
libexempi3:amd64,2.2.2-2,amd64,library to parse XMP metadata (Library)
libexif12:amd64,0.6.21-2,amd64,library to parse EXIF files
libexiv2-14:amd64,0.25-2.1ubuntu16.04.1,amd64,EXIF/IPTC/XMP metadata manipulation library
libexpat1:amd64,2.1.0-7ubuntu0.16.04.3,amd64,XML parsing C library - runtime library
libexporter-tiny-perl,0.042-1,all,tiny exporter similar to Sub::Exporter
libexttextcat-2.0-0:amd64,3.4.4-1ubuntu3,amd64,Language detection library
libexttextcat-data,3.4.4-1ubuntu3,all,Language detection library - data files
libfakeroot:amd64,1.20.2-1ubuntu1,amd64,tool for simulating superuser privileges - shared libraries
libfcgi-perl,0.77-1build1,amd64,helper module for FastCGI
libfcitx-config4:amd64,1:4.2.9.1-1ubuntu1.16.04.2,amd64,Flexible Input Method Framework - configuration support library
libfcitx-gclient0:amd64,1:4.2.9.1-1ubuntu1.16.04.2,amd64,Flexible Input Method Framework - D-Bus client library for Glib
libfcitx-utils0:amd64,1:4.2.9.1-1ubuntu1.16.04.2,amd64,Flexible Input Method Framework - utility support library
libfdisk1:amd64,2.27.1-6ubuntu3.4,amd64,fdisk partitioning library
libfdt1:amd64,1.4.0+dfsg-2,amd64,Flat Device Trees manipulation library
libffi6:amd64,3.2.1-4,amd64,Foreign Function Interface library runtime
libfftw3-double3:amd64,3.3.4-2ubuntu1,amd64,Library for computing Fast Fourier Transforms - Double precision
libfftw3-single3:amd64,3.3.4-2ubuntu1,amd64,Library for computing Fast Fourier Transforms - Single precision
libfile-basedir-perl,0.07-1,all,Perl module to use the freedesktop basedir specification
libfile-copy-recursive-perl,0.38-1,all,Perl extension for recursively copying files and directories
libfile-desktopentry-perl,0.22-1,all,Perl module to handle freedesktop .desktop files
libfile-fcntllock-perl,0.22-3,amd64,Perl module for file locking with fcntl(2)
libfile-listing-perl,6.04-1,all,module to parse directory listings
libfile-mimeinfo-perl,0.27-1,all,Perl module to determine file types
libflac8:amd64,1.3.1-4,amd64,Free Lossless Audio Codec - runtime C library
libfont-afm-perl,1.20-1,all,Font::AFM - Interface to Adobe Font Metrics files
libfontconfig1:amd64,2.11.94-0ubuntu1.1,amd64,generic font configuration library - runtime
libfontembed1:amd64,1.8.3-2ubuntu3.4,amd64,OpenPrinting CUPS Filters - Font Embed Shared library
libfontenc1:amd64,1:1.1.3-1,amd64,X11 font encoding library
libframe6:amd64,2.5.0daily13.06.05+16.04.20160809-0ubuntu1,amd64,Touch Frame Library
libfreehand-0.1-1:amd64,0.1.1-1ubuntu1,amd64,Library for parsing the FreeHand file format structure
libfreerdp-cache1.1:amd64,1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2,amd64,Free Remote Desktop Protocol library (cache library)
libfreerdp-client1.1:amd64,1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2,amd64,Free Remote Desktop Protocol library (client library)
libfreerdp-codec1.1:amd64,1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2,amd64,Free Remote Desktop Protocol library (codec library)
libfreerdp-common1.1.0:amd64,1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2,amd64,Free Remote Desktop Protocol library (common library)
libfreerdp-core1.1:amd64,1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2,amd64,Free Remote Desktop Protocol library (core library)
libfreerdp-crypto1.1:amd64,1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2,amd64,Free Remote Desktop Protocol library (freerdp-crypto library)
libfreerdp-gdi1.1:amd64,1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2,amd64,Free Remote Desktop Protocol library (GDI library)
libfreerdp-locale1.1:amd64,1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2,amd64,Free Remote Desktop Protocol library (locale library)
libfreerdp-plugins-standard:amd64,1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2,amd64,RDP client for Windows Terminal Services (plugins)
libfreerdp-primitives1.1:amd64,1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2,amd64,Free Remote Desktop Protocol library (primitives library)
libfreerdp-utils1.1:amd64,1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2,amd64,Free Remote Desktop Protocol library (freerdp-utils library)
libfreetype6:amd64,2.6.1-0.1ubuntu2.3,amd64,"FreeType 2 font engine, shared library files"
libfribidi0:amd64,0.19.7-1,amd64,Free Implementation of the Unicode BiDi algorithm
libfuse-dev,2.9.4-1ubuntu3.1,amd64,Filesystem in Userspace (development)
libfuse2:amd64,2.9.4-1ubuntu3.1,amd64,Filesystem in Userspace (library)
libfwup0:amd64,0.5-2ubuntu7,amd64,Library to manage UEFI firmware updates
libfwupd1:amd64,0.8.3-0ubuntu3,amd64,Firmware update daemon library
libgail-3-0:amd64,3.18.9-1ubuntu3.3,amd64,GNOME Accessibility Implementation Library -- shared libraries
libgail-common:amd64,2.24.30-1ubuntu1.16.04.2,amd64,GNOME Accessibility Implementation Library -- common modules
libgail18:amd64,2.24.30-1ubuntu1.16.04.2,amd64,GNOME Accessibility Implementation Library -- shared libraries
libgbm1:amd64,17.2.8-0ubuntu0~16.04.1,amd64,generic buffer management API -- runtime
libgc1c2:amd64,1:7.4.2-7.3ubuntu0.1,amd64,conservative garbage collector for C and C++
libgcab-1.0-0:amd64,0.7-1ubuntu0.1,amd64,Microsoft Cabinet file manipulation library
libgcc-5-dev:amd64,5.4.0-6ubuntu1~16.04.9,amd64,GCC support library (development files)
libgcc1:amd64,1:6.0.1-0ubuntu1,amd64,GCC support library
libgck-1-0:amd64,3.18.0-1ubuntu1,amd64,Glib wrapper library for PKCS#11 - runtime
libgconf-2-4:amd64,3.2.6-3ubuntu6,amd64,GNOME configuration database system (shared libraries)
